Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BUSH,631,603,21,0,0,0,0,21,4.000,0,0,0,0,0,21,DVIR R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
BUSH,631,700,23,1,0,0,0,24,3.958,0,0,0,0,0,24,CORTES K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
BUSH,632,600,7,2,0,0,0,9,3.777,1,0,0,0,0,10,MARCHBANKS M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
BUSH,635,601,4,4,0,0,0,8,3.500,0,0,0,0,0,8,MOSTASHARI S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
BUSH,635,602,9,5,1,0,0,15,3.533,0,0,0,0,0,15,MOSTASHARI S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
BUSH,635,603,10,7,0,0,0,17,3.588,0,0,0,1,0,18,MOSTASHARI S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,603,700,6,0,0,0,0,6,4.000,0,0,0,1,0,7,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,605,601,14,5,0,0,0,19,3.736,0,0,0,0,0,19,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,605,602,12,5,0,0,0,17,3.705,1,0,0,0,0,18,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,605,650,11,0,0,0,0,11,4.000,0,0,0,0,1,12,WEBER Y,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,606,600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,CHINCHILLA A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,606,650,12,2,0,0,0,14,3.857,1,0,0,0,0,15,LEMON E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,608,650,10,3,0,0,0,13,3.769,0,0,0,0,0,13,SHIM G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,613,601,18,6,0,0,1,25,3.600,0,0,0,0,0,25,HENNESSEY-NILAND J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,616,600,14,0,0,0,1,15,3.733,0,0,0,0,0,15,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,617,601,19,3,1,0,0,23,3.782,0,0,0,0,0,23,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,630,600,6,5,1,0,0,12,3.416,0,0,0,0,0,12,SERRA D,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,632,600,9,4,0,0,0,13,3.692,0,0,0,1,0,14,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,636,600,6,8,0,0,0,14,3.428,0,0,0,0,0,14,NATSIOS A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,640,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SNIDER E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,643,600,8,0,0,0,0,8,4.000,0,0,0,1,0,9,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,647,600,14,6,0,0,0,20,3.700,0,0,0,0,0,20,HUANG R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,650,600,8,5,0,0,0,13,3.615,0,0,0,0,0,13,SIEVERT R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,651,700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,SMITH J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,652,600,32,0,0,0,0,32,4.000,0,0,0,0,0,32,VOGLE G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,652,650,8,4,0,0,0,12,3.666,0,0,0,0,0,12,ROSS G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,652,700,4,4,1,0,0,9,3.333,0,0,0,1,0,10,DALY S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,654,700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,BLACKWELL J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,655,600,18,0,0,0,0,18,4.000,0,0,0,0,0,18,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,661,600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,668,601,8,1,0,0,0,9,3.888,0,0,0,0,0,9,SNIDER E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,670,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,HOLZWEISS R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,670,601,8,0,0,0,0,8,4.000,0,0,0,0,0,8,GILL M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
INTA,670,602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2023
